,TWI,Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Exchange rates (quoted per NZ$),Historical TWI
,17 currency basket,United States dollar,UK pound sterling,Australian dollar,Japanese yen,German deutsche mark,Canadian dollar,South Korean won,Chinese renminbi,Malaysian ringgit,Hong Kong dollar,Indonesian rupiah,Thai baht,Singapore dollar,New Taiwan dollar,Indian rupee,Philippine peso,Vietnamese dong,Base June 1979=100
Notes,,,,,,,,,,,,,,,,,,,
Unit,Index,NZD/USD,NZD/GBP,NZD/AUD,NZD/JPY,NZD/DEM,NZD/CAD,NZD/KRW,NZD/CNY,NZD/MYR,NZD/HKD,NZD/IDR,NZD/THB,NZD/SGD,NZD/TWD,NZD/INR,NZD/PHP,NZD/VND,Index
Series Id,EXRT.DS41.NZB17,EXR.DS11.D06,EXR.DS11.D04,EXR.DS11.D01,EXR.DS11.D05,EXR.DS11.D25,EXR.DS11.D02,EXR.DS11.D12,EXR.DS11.D11,EXR.DS11.D14,EXR.DS11.D08,EXR.DS11.D13,EXR.DS11.D15,EXR.DS11.D09,EXR.DS11.D16,EXR.DS11.D31,EXR.DS11.D32,EXR.DS11.D33,EXRT.DS41.N
01 Jun 1973,,1.3272,0.5160,0.9375,,,,,,,,,,,,,,,
05 Jun 1973,,1.3272,0.5131,0.9375,,,,,,,,,,,,,,,
06 Jun 1973,,1.3272,0.5153,0.9375,,,,,,,,,,,,,,,
07 Jun 1973,,1.3272,0.5152,0.9375,,,,,,,,,,,,,,,
08 Jun 1973,,1.3272,0.5147,0.9375,,,,,,,,,,,,,,,
11 Jun 1973,,1.3272,0.5144,0.9375,,,,,,,,,,,,,,,
12 Jun 1973,,1.3272,0.5149,0.9375,,,,,,,,,,,,,,,
13 Jun 1973,,1.3272,0.5146,0.9375,,,,,,,,,,,,,,,
14 Jun 1973,,1.3272,0.5150,0.9375,,,,,,,,,,,,,,,
15 Jun 1973,,1.3272,0.5137,0.9375,,,,,,,,,,,,,,,
18 Jun 1973,,1.3272,0.5133,0.9375,,,,,,,,,,,,,,,
19 Jun 1973,,1.3272,0.5131,0.9375,,,,,,,,,,,,,,,
20 Jun 1973,,1.3272,0.5131,0.9375,,,,,,,,,,,,,,,
21 Jun 1973,,1.3272,0.5128,0.9375,,,,,,,,,,,,,,,
22 Jun 1973,,1.3272,0.5149,0.9375,,,,,,,,,,,,,,,
25 Jun 1973,,1.3272,0.5145,0.9375,,,,,,,,,,,,,,,
26 Jun 1973,,1.3272,0.5146,0.9375,,,,,,,,,,,,,,,
27 Jun 1973,,1.3272,0.5136,0.9375,,,,,,,,,,,,,,,
28 Jun 1973,,1.3272,0.5133,0.9375,,,,,,,,,,,,,,,
29 Jun 1973,,1.3272,0.5124,0.9375,,,,,,,,,,,,,,,
02 Jul 1973,,1.3272,0.5130,0.9375,,,,,,,,,,,,,,,
03 Jul 1973,,1.3272,0.5135,0.9375,,,,,,,,,,,,,,,
04 Jul 1973,,1.3272,0.5137,0.9375,,,,,,,,,,,,,,,
05 Jul 1973,,1.3272,0.5143,0.9375,,,,,,,,,,,,,,,
06 Jul 1973,,1.3272,0.5144,0.9375,,,,,,,,,,,,,,,
09 Jul 1973,,1.3703,0.5350,0.9672,,,,,,,,,,,,,,,
10 Jul 1973,,1.3681,0.5343,0.9657,,,,,,,,,,,,,,,
11 Jul 1973,,1.3617,0.5338,0.9612,,,,,,,,,,,,,,,
12 Jul 1973,,1.3598,0.5327,0.9598,,,,,,,,,,,,,,,
13 Jul 1973,,1.3594,0.5337,0.9596,,,,,,,,,,,,,,,
16 Jul 1973,,1.3599,0.5339,0.9599,,,,,,,,,,,,,,,
17 Jul 1973,,1.3605,0.5336,0.9604,,,,,,,,,,,,,,,
18 Jul 1973,,1.3621,0.5343,0.9615,,,,,,,,,,,,,,,
19 Jul 1973,,1.3628,0.5346,0.9620,,,,,,,,,,,,,,,
20 Jul 1973,,1.3585,0.5352,0.9589,,,,,,,,,,,,,,,
23 Jul 1973,,1.3608,0.5349,0.9606,,,,,,,,,,,,,,,
24 Jul 1973,,1.3595,0.5354,0.9596,,,,,,,,,,,,,,,
25 Jul 1973,,1.3565,0.5370,0.9575,,,,,,,,,,,,,,,
26 Jul 1973,,1.3497,0.5396,0.9550,,,,,,,,,,,,,,,
27 Jul 1973,,1.3447,0.5421,0.9529,,,,,,,,,,,,,,,
30 Jul 1973,,1.3556,0.5389,0.9569,,,,,,,,,,,,,,,
31 Jul 1973,,1.3520,0.5397,0.9543,,,,,,,,,,,,,,,
01 Aug 1973,,1.3579,0.5379,0.9585,,,,,,,,,,,,,,,
02 Aug 1973,,1.3559,0.5378,0.9571,,,,,,,,,,,,,,,
03 Aug 1973,,1.3548,0.5378,0.9563,,,,,,,,,,,,,,,
06 Aug 1973,,1.3519,0.5386,0.9543,,,,,,,,,,,,,,,
07 Aug 1973,,1.3479,0.5399,0.9514,,,,,,,,,,,,,,,
08 Aug 1973,,1.3494,0.5394,0.9525,,,,,,,,,,,,,,,
09 Aug 1973,,1.3499,0.5393,0.9529,,,,,,,,,,,,,,,
10 Aug 1973,,1.3452,0.5415,0.9495,,,,,,,,,,,,,,,
13 Aug 1973,,1.3439,0.5414,0.9486,,,,,,,,,,,,,,,
14 Aug 1973,,1.3432,0.5416,0.9481,,,,,,,,,,,,,,,
15 Aug 1973,,,,,,,,,,,,,,,,,,,
16 Aug 1973,,1.3384,0.5426,0.9448,,,,,,,,,,,,,,,
17 Aug 1973,,1.3372,0.5426,0.9439,,,,,,,,,,,,,,,
20 Aug 1973,,1.3374,0.5423,0.9440,,,,,,,,,,,,,,,
21 Aug 1973,,1.3429,0.5411,0.9479,,,,,,,,,,,,,,,
22 Aug 1973,,1.3397,0.5417,0.9457,,,,,,,,,,,,,,,
23 Aug 1973,,1.3383,0.5421,0.9447,,,,,,,,,,,,,,,
24 Aug 1973,,1.3362,0.5431,0.9432,,,,,,,,,,,,,,,
27 Aug 1973,,1.3379,0.5429,0.9440,,,,,,,,,,,,,,,
28 Aug 1973,,1.3379,0.5429,0.9440,,,,,,,,,,,,,,,
29 Aug 1973,,1.3370,0.5431,0.9438,,,,,,,,,,,,,,,
30 Aug 1973,,1.3391,0.5427,0.9452,,,,,,,,,,,,,,,
31 Aug 1973,,1.3377,0.5433,0.9443,,,,,,,,,,,,,,,
03 Sep 1973,,1.3378,0.5432,0.9443,,,,,,,,,,,,,,,
04 Sep 1973,,1.3372,0.5434,0.9439,,,,,,,,,,,,,,,
05 Sep 1973,,1.3331,0.5460,0.9410,,,,,,,,,,,,,,,
06 Sep 1973,,1.3282,0.5493,0.9376,,,,,,,,,,,,,,,
07 Sep 1973,,1.3313,0.5482,0.9397,,,,,,,,,,,,,,,
10 Sep 1973,,1.4780,0.6101,0.9936,,,,,,,,,,,,,,,
11 Sep 1973,,1.4755,0.6109,0.9920,,,,,,,,,,,,,,,
12 Sep 1973,,1.4737,0.6116,0.9908,,,,,,,,,,,,,,,
13 Sep 1973,,1.4735,0.6117,0.9906,,,,,,,,,,,,,,,
14 Sep 1973,,1.4754,0.6102,0.9919,,,,,,,,,,,,,,,
17 Sep 1973,,1.4746,0.6111,0.9914,,,,,,,,,,,,,,,
18 Sep 1973,,1.4764,0.6118,0.9926,,,,,,,,,,,,,,,
19 Sep 1973,,1.4776,0.6110,0.9934,,,,,,,,,,,,,,,
20 Sep 1973,,1.4779,0.6107,0.9936,,,,,,,,,,,,,,,
